Title,Genres,Difficulty,AI Reasoning
"Cop Car","Crime, Thriller","Hard Mode","Gained a small cult following due to the director's later fame, but remains an indie niche film."
"Prince Avalanche","Comedy, Drama","Hard Mode","A quirky indie art-house film that is well-regarded by film buffs but obscure to the general public."
"The Astronaut Farmer","Drama, Adventure, Science Fiction","Hard Mode","A moderately known mid-2000s independent drama with a niche following."
"Nurse Betty","Comedy, Crime, Drama","Easy Mode","A widely recognized dark comedy featuring high-profile actors like Renée Zellweger and Morgan Freeman."
"The Pretty One","Comedy, Drama, Romance","Impossible Mode","A very small independent film that did not gain mainstream traction."
"Enduring Love","Drama, Mystery, Thriller","Hard Mode","Known in literary and film buff circles but not a widespread global household name."
"Rob the Mob","Crime, Drama, Thriller","Hard Mode","A crime drama with a cult following but limited theatrical reach."
"Major Grom: Plague Doctor","Action, Crime, Adventure","Hard Mode","Popular within the Russian market and Netflix international viewers, but niche globally."
"Cyrus","Comedy, Drama, Romance","Hard Mode","A recognizable indie dramedy featuring notable stars, but not a blockbuster."
"Mindhorn","Comedy, Crime, Mystery","Hard Mode","A British comedy with a strong cult following, particularly among fans of UK television."
"The Big White","Comedy, Crime, Drama","Impossible Mode","A largely overlooked dark comedy that went straight to DVD or had very limited release in many regions."
"Daydream Nation","Drama, Romance, Independent","Impossible Mode","An obscure Canadian independent coming-of-age film with limited international awareness."
"Versus","Action, Horror, Fantasy, Martial Arts","Hard Mode","A cult classic within the Japanese action horror genre, but relatively unknown to the general global audience."
"I Am Not an Easy Man","Comedy, Fantasy, Romance","Hard Mode","A Netflix original film that gained some international visibility but remains a niche French-language comedy."
"Veronika Decides to Die","Drama, Psychological","Hard Mode","Based on a famous book, but the film adaptation remains a niche production."
"Hamlet 2","Comedy, Music","Easy Mode","Received significant theatrical distribution and buzz during its release."
"Ararat","Drama, History, War","Hard Mode","An Atom Egoyan film known in arthouse circles but lacks mainstream global recognition."
"Welcome to Collinwood","Crime, Comedy","Hard Mode","A smaller ensemble heist comedy that is well-regarded by film fans but not widely known."
"Bandslam","Comedy, Drama, Music","Easy Mode","A teen musical film that had broad exposure and a recognizable target demographic."
"Ju-On: The Grudge 2","Horror, Mystery, Supernatural","Easy Mode","Part of a highly successful global horror franchise that had a major influence on early 2000s cinema."
"Ordinary Decent Criminal","Crime, Comedy","Hard Mode","Features major stars like Kevin Spacey and Colin Farrell, yet remains largely overlooked in the general filmography of the actors."
"The Meddler","Comedy, Drama","Easy Mode","A mainstream dramedy that received wide critical coverage and platformed in mainstream theaters."
"The Life Before Her Eyes","Drama, Thriller, Mystery","Hard Mode","A psychological drama with moderate indie recognition but limited mainstream awareness."
"Southside with You","Biography, Drama, Romance","Hard Mode","A well-regarded biographical drama about the Obamas, but primarily focused on a specific demographic audience."
"Happy, Texas","Comedy, Crime, Romance","Hard Mode","A cult comedy film from the late 90s that lacks broad international recognition."
"Cocktail","Drama, Romance","Easy Mode","A globally recognized Tom Cruise blockbuster."
"Luka Chuppi","Comedy, Romance","Hard Mode","Popular within the Indian market but less known globally compared to major Hollywood releases."
"Gulabo Sitabo","Comedy, Drama","Hard Mode","Notable for its Bollywood star power and streaming release, but remains a niche global title."
"Kokowääh","Comedy, Drama","Impossible Mode","A very successful German film that is virtually unknown outside of German-speaking territories."
"Spyder","Action, Thriller, Sci-Fi","Hard Mode","A high-budget Tollywood film with significant regional following, but minimal crossover to international audiences."
"Thalaivaa","Action, Drama, Thriller","Impossible Mode","A specific Tamil-language film that holds zero recognition outside of specific regional fanbases."
"Dügün Dernek 2: Sünnet","Comedy","Impossible Mode","A Turkish comedy sequel that performed well domestically but is completely obscure to non-Turkish viewers."
"Blue Beetle","Action, Sci-Fi, Adventure","Easy Mode","Recent major studio superhero film with high global marketing visibility."
"Haunted Mansion","Comedy, Fantasy, Horror, Family","Easy Mode","Disney IP based on a world-famous theme park attraction."
"My Fault","Drama, Romance","Hard Mode","Popular on streaming platforms but primarily targeted at a specific niche audience."
"Saw III","Horror, Mystery, Thriller","Easy Mode","Part of a globally recognized, long-running horror franchise."
"The Toxic Avenger","Action, Comedy, Horror","Hard Mode","A cult classic film known primarily to genre fans and film buffs."
"Thor: Love and Thunder","Action, Adventure, Fantasy, Comedy","Easy Mode","Massive Marvel Cinematic Universe blockbuster."
"Bodies Bodies Bodies","Horror, Comedy, Mystery","Hard Mode","Critically acclaimed A24 film that reached a specific demographic but lacks mass-market reach."
"This Is 40","Comedy, Drama","Easy Mode","A well-known mainstream comedy directed by Judd Apatow with high-profile stars."
"I Spit on Your Grave","Horror, Thriller","Hard Mode","Infamous within horror circles but not widely known by the general public."
"Fantastic Beasts: The Secrets of Dumbledore","Fantasy, Adventure, Action","Easy Mode","Part of the globally iconic Harry Potter Wizarding World franchise."
"Birth","Drama, Mystery, Thriller","Impossible Mode","An arthouse drama that remains relatively obscure to general global audiences."
"As Above, So Below","Horror, Mystery, Thriller","Hard Mode","A cult favorite in the found-footage horror subgenre with moderate niche recognition."
"Scream 4","Horror, Mystery, Slasher","Easy Mode","Part of a globally iconic horror franchise with high name recognition."
"Malignant","Horror, Mystery, Thriller","Hard Mode","A polarizing James Wan film known mostly by horror enthusiasts."
"The Visit","Horror, Mystery, Thriller","Easy Mode","A widely released M. Night Shyamalan thriller with broad commercial awareness."
"The Empty Man","Horror, Mystery, Thriller, Drama","Impossible Mode","A box office failure that became a hidden gem for cinephiles long after release."
"The Cannonball Run","Action, Comedy","Easy Mode","A classic 80s comedy with a star-studded cast known globally."
"Pearl Harbor","Action, Drama, History, Romance, War","Easy Mode","A major Hollywood blockbuster with massive global marketing and recognition."
"The Legend of Tarzan","Action, Adventure, Drama","Easy Mode","A big-budget adaptation of a world-famous literary character."
"Scary Stories to Tell in the Dark","Horror, Mystery, Thriller","Hard Mode","Based on famous books, but the film adaptation holds a specific niche status among horror fans."
"Indiana Jones and the Kingdom of the Crystal Skull","Action, Adventure, Sci-Fi","Easy Mode","Part of a globally iconic blockbuster franchise."
"Sweet Home Alabama","Romance, Comedy","Easy Mode","Very popular and widely recognized romantic comedy."
"Jeepers Creepers","Horror, Mystery","Easy Mode","Well-known horror film with significant cult status and sequels."
"Killer Klowns from Outer Space","Sci-Fi, Horror, Comedy","Hard Mode","A niche cult classic with a specific horror-comedy audience."
"The Texas Chainsaw Massacre","Horror, Slasher","Easy Mode","A foundational and globally recognized classic of the horror genre."
"Mama","Horror, Supernatural, Thriller","Easy Mode","A widely released and commercially successful supernatural horror film."
"The Losers","Action, Adventure, Crime","Hard Mode","An action film that, while featuring stars, remains relatively niche in its recognition."
"Terminator: Dark Fate","Action, Sci-Fi, Adventure","Easy Mode","Part of the massively famous Terminator franchise."
"Fear Street: Part One - 1994","Horror, Mystery, Teen","Easy Mode","Highly visible release on a major global streaming platform."
"Men in Black II","Action, Adventure, Comedy, Sci-Fi","Easy Mode","A sequel to a massive global sci-fi blockbuster franchise."
"Diary of a Wimpy Kid","Comedy, Family","Easy Mode","Massively popular children's book franchise with multiple high-profile film adaptations."
"No Strings Attached","Romance, Comedy","Easy Mode","Mainstream romantic comedy starring high-profile actors Ashton Kutcher and Natalie Portman."
"The Hating Game","Romance, Comedy","Hard Mode","Based on a popular contemporary romance novel but occupies a niche space in the film market."
"Cold Pursuit","Action, Crime, Thriller","Hard Mode","A Liam Neeson action thriller that had moderate theatrical visibility but is not widely iconic."
"The Card Counter","Crime, Drama, Thriller","Hard Mode","A critically acclaimed Paul Schrader film that is well-known in cinephile circles but less so to the general public."
"Sleepaway Camp","Horror, Slasher, Cult","Hard Mode","Cult classic horror film known primarily within the horror community rather than mainstream pop culture."
"Kate","Action, Thriller, Crime","Hard Mode","A Netflix action original that received significant streaming promotion but lacks long-term cultural ubiquity."
"Alien: Resurrection","Sci-Fi, Horror, Action","Easy Mode","Part of a massive, globally recognized blockbuster sci-fi franchise."
"Porky's","Comedy","Easy Mode","A seminal 1980s teen sex comedy that defined the genre for a generation."
"Final Destination 2","Horror, Supernatural, Thriller","Easy Mode","Entry in a highly recognizable and successful mainstream horror franchise."
"Dick Tracy","Action, Crime, Comedy","Easy Mode","A highly publicized comic book adaptation with a massive marketing campaign and major stars."
